    1 . (    7  ,     8   ),
    2 . (    8  ,     9   ),
    3 . (    9  ,    10   ),
    4 . (   11  ,    12   ),
    5 . (   12  ,    26   ),
    6 . (   12  ,    13   ),
    7 . (   18  ,    19   ),
    8 . (   19  ,    20   ),
    9 . (   20  ,    21   ),
   10 . (   23  ,    24   ),
   11 . (   23  ,    32   ),
   12 . (   24  ,    25   ),
   13 . (   24  ,    28   ),
   14 . (    1  ,     3   ),
   15 . (    2  ,     4   ),
   16 . (    5  ,     6   ),
   17 . (    6  ,     7   ),
   18 . (    6  ,    39   ),
   19 . (   32  ,    75   ),
   20 . (   34  ,    75   ),
   21 . (   37  ,    38   ),
   22 . (   38  ,    43   ),
   23 . (   39  ,    40   ),
   24 . (   51  ,    52   ),
   25 . (   52  ,    53   ),
   26 . (   54  ,    55   ),
   27 . (   55  ,    57   ),
   28 . (   56  ,    58   ),
   29 . (   57  ,    58   ),
   30 . (   58  ,    63   ),
   31 . (   61  ,   137   ),
   32 . (   25  ,    26   ),
   33 . (   26  ,    28   ),
   34 . (   30  ,    82   ),
   35 . (   31  ,    32   ),
   36 . (   31  ,    76   ),
   37 . (   75  ,    76   ),
   38 . (   77  ,    78   ),
   39 . (   77  ,   118   ),
   40 . (   78  ,    79   ),
   41 . (   79  ,    83   ),
   42 . (   81  ,    83   ),
   43 . (   83  ,    84   ),
   44 . (   84  ,   189   ),
   45 . (   84  ,    85   ),
   46 . (   85  ,   103   ),
   47 . (   86  ,    87   ),
   48 . (   87  ,    88   ),
   49 . (   89  ,    96   ),
   50 . (   63  ,    67   ),
   51 . (   68  ,    69   ),
   52 . (   69  ,    70   ),
   53 . (   71  ,    72   ),
   54 . (   71  ,   136   ),
   55 . (   95  ,    96   ),
   56 . (  101  ,   102   ),
   57 . (  102  ,   103   ),
   58 . (   86  ,   102   ),
   59 . (  104  ,   202   ),
   60 . (  110  ,   111   ),
   61 . (   90  ,    96   ),
   62 . (   92  ,    93   ),
   63 . (   93  ,    94   ),
   64 . (   93  ,   190   ),
   65 . (   94  ,    95   ),
   66 . (  128  ,   131   ),
   67 . (  129  ,   131   ),
   68 . (  129  ,   130   ),
   69 . (  132  ,   133   ),
   70 . (  138  ,   139   ),
   71 . (  139  ,   140   ),
   72 . (  140  ,   141   ),
   73 . (  140  ,   153   ),
   74 . (  153  ,   154   ),
   75 . (  155  ,   156   ),
   76 . (  157  ,   163   ),
   77 . (  158  ,   159   ),
   78 . (  159  ,   160   ),
   79 . (  111  ,   112   ),
   80 . (  114  ,   186   ),
   81 . (  117  ,   118   ),
   82 . (  126  ,   127   ),
   83 . (  167  ,   176   ),
   84 . (  167  ,   170   ),
   85 . (  170  ,   171   ),
   86 . (  171  ,   172   ),
   87 . (  171  ,   173   ),
   88 . (  179  ,   180   ),
   89 . (  180  ,   181   ),
